time,temperature_2m
2024-05-01T00:00,18.1
2024-05-01T01:00,17.6
2024-05-01T02:00,17.0
2024-05-01T03:00,16.5
2024-05-01T04:00,16.1
2024-05-01T05:00,15.7
2024-05-01T06:00,15.6
2024-05-01T07:00,15.4
2024-05-01T08:00,15.3
2024-05-01T09:00,15.2
2024-05-01T10:00,15.2
2024-05-01T11:00,15.1
2024-05-01T12:00,15.1
2024-05-01T13:00,14.8
2024-05-01T14:00,14.8
2024-05-01T15:00,15.0
2024-05-01T16:00,14.6
2024-05-01T17:00,14.5
2024-05-01T18:00,14.0
2024-05-01T19:00,13.5
2024-05-01T20:00,13.1
2024-05-01T21:00,12.8
2024-05-01T22:00,12.8
2024-05-01T23:00,12.9
2024-05-02T00:00,12.9
2024-05-02T01:00,12.8
2024-05-02T02:00,12.6
2024-05-02T03:00,11.7
2024-05-02T04:00,10.8
2024-05-02T05:00,10.5
2024-05-02T06:00,11.6
2024-05-02T07:00,12.8
2024-05-02T08:00,13.9
2024-05-02T09:00,15.3
2024-05-02T10:00,16.9
2024-05-02T11:00,17.9
2024-05-02T12:00,18.9
2024-05-02T13:00,19.9
2024-05-02T14:00,20.5
2024-05-02T15:00,20.8
2024-05-02T16:00,20.7
2024-05-02T17:00,20.1
2024-05-02T18:00,18.1
2024-05-02T19:00,14.7
2024-05-02T20:00,13.3
2024-05-02T21:00,12.3
2024-05-02T22:00,12.9
2024-05-02T23:00,12.2
2024-05-03T00:00,11.4
2024-05-03T01:00,11.0
2024-05-03T02:00,10.8
2024-05-03T03:00,10.2
2024-05-03T04:00,10.2
2024-05-03T05:00,10.3
2024-05-03T06:00,10.9
2024-05-03T07:00,13.0
2024-05-03T08:00,15.4
2024-05-03T09:00,17.6
2024-05-03T10:00,19.2
2024-05-03T11:00,20.5
2024-05-03T12:00,21.3
2024-05-03T13:00,21.9
2024-05-03T14:00,22.4
2024-05-03T15:00,22.7
2024-05-03T16:00,22.8
2024-05-03T17:00,21.2
2024-05-03T18:00,18.6
2024-05-03T19:00,16.4
2024-05-03T20:00,15.8
2024-05-03T21:00,15.4
2024-05-03T22:00,16.2
2024-05-03T23:00,15.7
2024-05-04T00:00,14.8
2024-05-04T01:00,16.0
2024-05-04T02:00,13.5
2024-05-04T03:00,12.2
2024-05-04T04:00,11.6
2024-05-04T05:00,11.1
2024-05-04T06:00,12.1
2024-05-04T07:00,14.0
2024-05-04T08:00,16.4
2024-05-04T09:00,18.7
2024-05-04T10:00,20.6
2024-05-04T11:00,22.0
2024-05-04T12:00,22.9
2024-05-04T13:00,23.4
2024-05-04T14:00,23.5
2024-05-04T15:00,23.2
2024-05-04T16:00,21.7
2024-05-04T17:00,20.5
2024-05-04T18:00,18.8
2024-05-04T19:00,17.4
2024-05-04T20:00,17.2
2024-05-04T21:00,16.8
2024-05-04T22:00,16.8
2024-05-04T23:00,17.1
2024-05-05T00:00,16.6
2024-05-05T01:00,16.2
2024-05-05T02:00,16.0
2024-05-05T03:00,15.5
2024-05-05T04:00,12.7
2024-05-05T05:00,11.7
2024-05-05T06:00,11.9
2024-05-05T07:00,14.3
2024-05-05T08:00,17.1
2024-05-05T09:00,19.3
2024-05-05T10:00,21.3
2024-05-05T11:00,23.0
2024-05-05T12:00,23.5
2024-05-05T13:00,22.7
2024-05-05T14:00,22.4
2024-05-05T15:00,21.6
2024-05-05T16:00,20.9
2024-05-05T17:00,20.2
2024-05-05T18:00,19.5
2024-05-05T19:00,18.2
2024-05-05T20:00,17.4
2024-05-05T21:00,16.9
2024-05-05T22:00,16.8
2024-05-05T23:00,17.3
